"","code_sp","variable","value","se.value","name_long"
"47","DRYMAR","X2",-0.0176700419484024,NA,"Dryocopus martius"
"48","DRYMAR","X3",-0.0202680279388739,NA,"Dryocopus martius"
"49","DRYMAR","X4",0.0383843282364009,NA,"Dryocopus martius"
"50","DRYMAR","X5",-0.0166501231986959,NA,"Dryocopus martius"
"51","DRYMIN","X1",0.172738908640392,NA,"Dryobates minor"
"52","DRYMIN","X2",0.0597383121141398,NA,"Dryobates minor"
"53","DRYMIN","X3",0.00481532053148364,NA,"Dryobates minor"
"54","DRYMIN","X4",0.0562482496005015,NA,"Dryobates minor"
"55","DRYMIN","X5",-0.0613210532823551,NA,"Dryobates minor"
"56","EMBCIT","X1",0.0446537272171345,NA,"Emberiza citrinella"
"57","EMBCIT","X2",-0.000810837656555558,NA,"Emberiza citrinella"
"58","EMBCIT","X3",-0.0228254650609841,NA,"Emberiza citrinella"
"59","EMBCIT","X4",-0.0101770924938089,NA,"Emberiza citrinella"
"60","EMBCIT","X5",-0.0486113542335008,NA,"Emberiza citrinella"
"61","EMBHOR","X1",0.0558116444576299,NA,"Emberiza hortulana"
"62","EMBHOR","X2",-0.034039307027819,NA,"Emberiza hortulana"
"63","EMBHOR","X3",0.0424508343427021,NA,"Emberiza hortulana"
"64","EMBHOR","X4",-0.0305706597809767,NA,"Emberiza hortulana"
"65","EMBHOR","X5",-0.153167765322558,NA,"Emberiza hortulana"
"66","EMBRUS","X1",0.0260593486629615,NA,"Emberiza rustica"
"67","EMBRUS","X2",-0.0921804752286131,NA,"Emberiza rustica"
"68","EMBRUS","X3",-0.031162009229029,NA,"Emberiza rustica"
"69","EMBRUS","X4",0.0434730912094623,NA,"Emberiza rustica"
"70","EMBRUS","X5",-0.00333989094690443,NA,"Emberiza rustica"
"71","FICHYP","X1",0.0187010492238266,NA,"Ficedula hypoleuca"
"72","FICHYP","X2",-0.0179729378853012,NA,"Ficedula hypoleuca"
"73","FICHYP","X3",0.0231563569545524,NA,"Ficedula hypoleuca"
"74","FICHYP","X4",-0.102797008453202,NA,"Ficedula hypoleuca"
"75","FICHYP","X5",-0.0235640111448556,NA,"Ficedula hypoleuca"
"76","GARGLA","X1",0.0555141319980444,NA,"Garrulus glandarius"
"77","GARGLA","X2",-0.0135507046273343,NA,"Garrulus glandarius"
"78","GARGLA","X3",-0.00436807478404797,NA,"Garrulus glandarius"
"79","GARGLA","X4",-0.027450186707904,NA,"Garrulus glandarius"
"80","GARGLA","X5",-0.00957051817101159,NA,"Garrulus glandarius"
"81","HIRRUS","X1",-0.00561167113402953,NA,"Hirundo rustica"
"82","HIRRUS","X2",0.0343306299013186,NA,"Hirundo rustica"
"83","HIRRUS","X3",-0.0153540388483441,NA,"Hirundo rustica"
"84","HIRRUS","X4",0.00533984132790241,NA,"Hirundo rustica"
"85","HIRRUS","X5",-0.000546279226912388,NA,"Hirundo rustica"
"86","JYNTOR","X1",0.134516647871979,NA,"Jynx torquilla"
"87","JYNTOR","X2",0.0269677538518773,NA,"Jynx torquilla"
"88","JYNTOR","X3",-0.00109445194304853,NA,"Jynx torquilla"
"89","JYNTOR","X4",-0.0200959531653658,NA,"Jynx torquilla"
"90","JYNTOR","X5",-0.00148002937257554,NA,"Jynx torquilla"
"91","LANCOL","X1",0.0148213534996222,NA,"Lanius collurio"
"92","LANCOL","X2",0.000686647350118996,NA,"Lanius collurio"
"93","LANCOL","X3",-0.0563484914857764,NA,"Lanius collurio"
"94","LANCOL","X4",0.00541467416484257,NA,"Lanius collurio"
"95","LANCOL","X5",0.000243602113359782,NA,"Lanius collurio"
"96","LINCAN","X1",-0.0546425127282753,NA,"Linaria cannabina"
"97","LINCAN","X2",-0.0710321194850878,NA,"Linaria cannabina"
"98","LINCAN","X3",0.0164838868132816,NA,"Linaria cannabina"
"99","LINCAN","X4",-0.0234651196747785,NA,"Linaria cannabina"
"100","LINCAN","X5",0.0454191326658989,NA,"Linaria cannabina"
"101","LOPCRI","X1",0.188245236879033,NA,"Lophophanes cristatus"
"102","LOPCRI","X2",-0.00348685514068808,NA,"Lophophanes cristatus"
"103","LOPCRI","X3",-0.0800207688234477,NA,"Lophophanes cristatus"
"104","LOPCRI","X4",-0.0146274784008633,NA,"Lophophanes cristatus"
"105","LOPCRI","X5",0.0168688018219708,NA,"Lophophanes cristatus"
"106","MOTFLA","X1",-0.0647381537706782,NA,"Motacilla flava"
"107","MOTFLA","X2",-0.019386701802564,NA,"Motacilla flava"
"108","MOTFLA","X3",-0.0194865749287907,NA,"Motacilla flava"
"109","MOTFLA","X4",-0.0735545453762103,NA,"Motacilla flava"
"110","MOTFLA","X5",0.0141028295662116,NA,"Motacilla flava"
"111","NUCCAR","X1",0.110122377793794,NA,"Nucifraga caryocatactes"
"112","NUCCAR","X2",-0.0308341253111847,NA,"Nucifraga caryocatactes"
"113","NUCCAR","X3",-0.145513136405699,NA,"Nucifraga caryocatactes"
"114","NUCCAR","X4",0.0710927588673621,NA,"Nucifraga caryocatactes"
"115","NUCCAR","X5",0.0547833718783088,NA,"Nucifraga caryocatactes"
"116","NUMARQ","X1",0.000731009468149559,NA,"Numenius arquata"
"117","NUMARQ","X2",-0.0167800631107203,NA,"Numenius arquata"
"118","NUMARQ","X3",0.0347087342101717,NA,"Numenius arquata"
"119","NUMARQ","X4",0.0119122556056485,NA,"Numenius arquata"
"120","NUMARQ","X5",-0.0333790319693764,NA,"Numenius arquata"
"121","OENOEN","X1",-0.0310435515345131,NA,"Oenanthe oenanthe"
"122","OENOEN","X2",-0.0544180744078007,NA,"Oenanthe oenanthe"
"123","OENOEN","X3",0.0411453679533786,NA,"Oenanthe oenanthe"
"124","OENOEN","X4",-0.101122162742278,NA,"Oenanthe oenanthe"
"125","OENOEN","X5",-0.00570578766917459,NA,"Oenanthe oenanthe"
"126","PASMON","X1",0.0583047153196208,NA,"Passer montanus"
"127","PASMON","X2",-0.0461448530603451,NA,"Passer montanus"
"128","PASMON","X3",0.126705436237764,NA,"Passer montanus"
"129","PASMON","X4",0.020282965657474,NA,"Passer montanus"
"130","PASMON","X5",-0.00244895983771583,NA,"Passer montanus"
"131","PERATE","X1",-0.0135885273992836,NA,"Periparus ater"
"132","PERATE","X2",-0.0027771791981834,NA,"Periparus ater"
"133","PERATE","X3",0.0252370851160059,NA,"Periparus ater"
"134","PERATE","X4",-0.00035877273813327,NA,"Periparus ater"
"135","PERATE","X5",0.00208762374513337,NA,"Periparus ater"
"136","PHOPHO","X1",0.0338229143414141,NA,"Phoenicurus phoenicurus"
"137","PHOPHO","X2",0.0059195193396494,NA,"Phoenicurus phoenicurus"
"138","PHOPHO","X3",0.0379625843788554,NA,"Phoenicurus phoenicurus"
"139","PHOPHO","X4",-0.0298336658905498,NA,"Phoenicurus phoenicurus"
"140","PHOPHO","X5",0.00148897290473383,NA,"Phoenicurus phoenicurus"
"141","PHYCOL","X1",0.0911589820577162,NA,"Phylloscopus collybita"
"142","PHYCOL","X2",-0.018762750550022,NA,"Phylloscopus collybita"
"143","PHYCOL","X3",0.0130194335380949,NA,"Phylloscopus collybita"
"144","PHYCOL","X4",-0.124266442560291,NA,"Phylloscopus collybita"
"145","PHYCOL","X5",0.086832754239716,NA,"Phylloscopus collybita"
"146","PHYSIB","X1",0.0314499419217019,NA,"Phylloscopus sibillatrix"
"147","PHYSIB","X2",0.0178931379592272,NA,"Phylloscopus sibillatrix"
"148","PHYSIB","X3",-0.0171707249266826,NA,"Phylloscopus sibillatrix"
"149","PHYSIB","X4",-0.00995359450917704,NA,"Phylloscopus sibillatrix"
"150","PHYSIB","X5",-0.0198476546128474,NA,"Phylloscopus sibillatrix"
"151","PICTRI","X1",0.221390870654718,NA,"Picoides tridactylus"
"152","PICTRI","X2",0.0179289885592119,NA,"Picoides tridactylus"
"153","PICTRI","X3",-0.0700355493181404,NA,"Picoides tridactylus"
"154","PICTRI","X4",-0.0340203772821598,NA,"Picoides tridactylus"
"155","PICTRI","X5",-0.0415956949965523,NA,"Picoides tridactylus"
"156","PICVIR","X1",0.0626759054938356,NA,"Picus viridis"
"157","PICVIR","X2",0.00807631112857685,NA,"Picus viridis"
"158","PICVIR","X3",-0.117400418877572,NA,"Picus viridis"
"159","PICVIR","X4",0.00570717696208083,NA,"Picus viridis"
"160","PICVIR","X5",0.00223296603669081,NA,"Picus viridis"
"161","POEMON","X1",0.0762413167088382,NA,"Poecile montanus"
"162","POEMON","X2",0.00508626924377008,NA,"Poecile montanus"
"163","POEMON","X3",0.00102931787316996,NA,"Poecile montanus"
"164","POEMON","X4",-0.025046706902496,NA,"Poecile montanus"
"165","POEMON","X5",-0.0414390417920877,NA,"Poecile montanus"
"166","POEPAL","X1",0.0411039949861677,NA,"Poecile palustris"
"167","POEPAL","X2",0.0355647835866763,NA,"Poecile palustris"
"168","POEPAL","X3",-0.0310781776332566,NA,"Poecile palustris"
"169","POEPAL","X4",-0.00840759181714361,NA,"Poecile palustris"
"170","POEPAL","X5",-0.0284815574728835,NA,"Poecile palustris"
"171","PYRPYR","X1",-0.0445027805858188,NA,"Pyrrhula pyrrhula"
"172","PYRPYR","X2",-5.71416239755213e-05,NA,"Pyrrhula pyrrhula"
"173","PYRPYR","X3",0.00139180257978664,NA,"Pyrrhula pyrrhula"
"174","PYRPYR","X4",-0.0226782272355239,NA,"Pyrrhula pyrrhula"
"175","PYRPYR","X5",0.027216529499902,NA,"Pyrrhula pyrrhula"
"176","REGREG","X1",0.259572291150795,NA,"Regulus regulus"
"177","REGREG","X2",-0.0977555030001305,NA,"Regulus regulus"
"178","REGREG","X3",-0.105677577188825,NA,"Regulus regulus"
"179","REGREG","X4",0.0970568758253688,NA,"Regulus regulus"
"180","REGREG","X5",0.0240334638491324,NA,"Regulus regulus"
"181","SAXRUB","X1",-0.0310207046635052,NA,"Saxicola rubetra"
"182","SAXRUB","X2",-0.0182956409536244,NA,"Saxicola rubetra"
"183","SAXRUB","X3",-0.0196218610257707,NA,"Saxicola rubetra"
"184","SAXRUB","X4",-0.0784857946757049,NA,"Saxicola rubetra"
"185","SAXRUB","X5",-0.0203535041713756,NA,"Saxicola rubetra"
"186","SITEUR","X1",0.224727539871815,NA,"Sitta europaea"
"187","SITEUR","X2",-0.00988844473285123,NA,"Sitta europaea"
"188","SITEUR","X3",-0.00185397797785546,NA,"Sitta europaea"
"189","SITEUR","X4",-0.00626951267098823,NA,"Sitta europaea"
"190","SITEUR","X5",0.000983667094465603,NA,"Sitta europaea"
"191","SPISPI","X1",0.0689577850354927,NA,"Spinus spinus"
"192","SPISPI","X2",-0.0307598418415449,NA,"Spinus spinus"
"193","SPISPI","X3",0.0133815534566928,NA,"Spinus spinus"
"194","SPISPI","X4",-0.0386993575104668,NA,"Spinus spinus"
"195","SPISPI","X5",0.0056099730505442,NA,"Spinus spinus"
"196","STUVUL","X1",-0.00936923686839674,NA,"Sturnus vulgaris"
"197","STUVUL","X2",0.000159783692039094,NA,"Sturnus vulgaris"
"198","STUVUL","X3",-0.058619435781075,NA,"Sturnus vulgaris"
"199","STUVUL","X4",-0.0153604994217917,NA,"Sturnus vulgaris"
"200","STUVUL","X5",-0.0281547586393675,NA,"Sturnus vulgaris"
"201","SYLCOM","X1",-0.000306767337760158,NA,"Sylvia communis"
"202","SYLCOM","X2",0.00903708254901926,NA,"Sylvia communis"
"203","SYLCOM","X3",-0.0320061703192738,NA,"Sylvia communis"
"204","SYLCOM","X4",-0.0616446341318224,NA,"Sylvia communis"
"205","SYLCOM","X5",0.00510737020155385,NA,"Sylvia communis"
"206","TETBON","X1",0.0366584500244713,NA,"Tetrastes bonasia"
"207","TETBON","X2",-0.0276831585613418,NA,"Tetrastes bonasia"
"208","TETBON","X3",0.0176107560463218,NA,"Tetrastes bonasia"
"209","TETBON","X4",-0.183113066808693,NA,"Tetrastes bonasia"
"210","TETBON","X5",-0.0482355688988997,NA,"Tetrastes bonasia"
"211","TRIOCH","X1",0.00484225948273247,NA,"Tringa ochropus"
"212","TRIOCH","X2",0.0492803074803856,NA,"Tringa ochropus"
"213","TRIOCH","X3",-0.00269021130745207,NA,"Tringa ochropus"
"214","TRIOCH","X4",-0.00960393587088914,NA,"Tringa ochropus"
"215","TRIOCH","X5",0.0138619644008321,NA,"Tringa ochropus"
"216","TURVIS","X1",0.0281790961658451,NA,"Turdus viscivorus"
"217","TURVIS","X2",0.0247434366516913,NA,"Turdus viscivorus"
"218","TURVIS","X3",-0.0184075807682891,NA,"Turdus viscivorus"
"219","TURVIS","X4",-0.130780183921017,NA,"Turdus viscivorus"
"220","TURVIS","X5",0.0242757747275212,NA,"Turdus viscivorus"
"221","VANVAN","X1",-0.0132996681437142,NA,"Vanellus vanellus"
"222","VANVAN","X2",0.0360041663557613,NA,"Vanellus vanellus"
"223","VANVAN","X3",-0.0505678547341359,NA,"Vanellus vanellus"
"224","VANVAN","X4",-0.061005923003064,NA,"Vanellus vanellus"
"225","VANVAN","X5",-0.0492415969963645,NA,"Vanellus vanellus"
